WGS84_latitude,WGS84_longitude,Database_number,temperature_in_c,rock_type,pH_gauss,redox_potential_in_mV_gauss,total_dissolved_solids_in_mmol/L_log_gauss,O2_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,NH4_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,Mn_in_mmol/L_log_gauss,F_in_umol/L_log_gauss,NO3_in_mmol/L_log_gauss,H2SiO3_in_umol/L_log_gauss,HS_in_mmol/L_gauss
47.1149,13.1365,5,47.0,Basalt,0.9626030552496588,,-1.3313287260306126,,-0.9223302184168565,-1.4790043989044597,-1.0552666096212715,-0.9713019607304142,0.1768087647548974,-1.3277991598560843,-0.7334486158287821,-1.0796899285577486,,,,,0.9577248107845399,-0.539577210798902,,
46.9803,15.3653,5,27.2,Limestone,-0.09927374872396871,,-1.058354182604557,,-2.142758841646149,0.09750156730122199,0.005773691142003526,-1.9061061012559883,0.1457952650087277,-0.031910766729481725,,-1.3310177115031385,,,,,-0.47943158017267357,,,
46.9803,15.3653,5,24.1,Limestone,-0.09927374872396871,,-1.072544611520193,,-2.123229424990979,0.08415533089046491,0.001689331395720066,-1.7943070060972108,0.13086509471955937,-0.056698499663746946,,-1.2447784131572894,,,,,-0.5063476573610789,,,
46.5886,13.826,5,31.0,Gypsum,,,-1.1232886696291735,,-2.0136806068177284,-0.3360247120244458,0.00894753518979724,-1.8272986947864829,-0.9831647078614667,0.06259433042003312,-2.1696940641754074,-1.0707445970692107,,,,,,,,
46.5886,13.826,5,28.5,Gypsum,-0.09675252955038441,,-1.1118093577418895,,-2.256744827428804,-0.27601785364763815,0.026348991391809306,-1.8952592947862115,-1.0683737569712048,0.07408727446138559,,-1.8114574488804083,,,,,-1.918441485013229,,,
46.5886,13.826,5,25.0,Gypsum,-0.11315217624074865,,-1.141258367333155,,-2.331803425122309,-0.3102802758215208,0.006272884668573728,-1.937683630396749,-1.0752065081884394,0.040156988733765504,,-1.9510503965363069,,,,,-1.918441485013229,,,
46.5886,13.826,5,25.0,Gypsum,-0.01129135828112991,,-1.1387424758379783,,-2.309390480981291,-0.29589918825541606,0.016310116285324295,-1.937683630396749,-1.0766972101508185,0.03513515136381242,,-1.8803524454038238,,,,,-1.918441485013229,,,
46.5886,13.826,5,25.65,Gypsum,-0.01129135828112991,,-1.1380794000019974,,-2.331803425122309,-0.30185478817024713,0.016310116285324295,-1.937683630396749,-1.0752065081884394,0.03764738449271907,,-1.8114574488804083,,,,,-1.918441485013229,,,
46.5886,13.826,5,25.5,Gypsum,-0.25231085193165653,,-1.154599858882542,,-2.2899878321264264,-0.29381042997432566,-0.012083915059198496,-1.966547749323849,-1.0752065081884394,0.017885237564502613,,-1.9510503965363069,,,,,-1.976943225725333,,,
47.1422,10.5178,5,17.6,Gypsum,,,-0.41433247883811297,,-2.331803425122309,0.9253046455549678,0.47081632601156004,-2.211127241085327,1.479236773916133,-0.40880511937045705,,-1.9510503965363069,,,,,,,,
47.9261,16.4728,5,24.3,Limestone,,,-0.2682481036609484,,-0.6684592373005874,0.7673289069137711,0.6031265902131138,-0.5015402729456003,1.352774000924648,0.39197007282623947,-0.440383104564859,-0.2730890226527413,,0.02682163505358669,,,-0.18931001061841743,0.6174593007336714,,
47.9739,16.6078,5,22.8,Limestone,,,-0.6500257753551947,,-1.6067550689692431,0.4821476229098557,0.43460546567974045,-1.164443705970982,1.0626837471280455,-0.40463565067423013,,-0.7782249060548562,,-0.77325357467692,,,,,,
47.743516,14.256649,5,11.5,Limestone,-0.25231085193165653,,-1.288783558951731,,-2.1785504349145017,-0.06151263655249821,-0.3408923583116954,-1.8058989357980426,-1.0781916768725874,-0.20542808055453646,-1.3716572255726536,-0.810909895029389,,,,,-1.1768904376238725,,,
47.719742,14.331302,5,25.6,Limestone,-0.24196303143312786,,0.32054851477248447,,0.27572136222963184,0.9331284301275257,0.8087289437785828,0.31237777341710043,1.7243907046848799,-0.3792465545041952,-0.4033555430561561,-0.040965300487966747,,,,,-0.19442151365869756,,,
47.7338,13.1518,5,11.5,Gypsum,,,0.1938450307828034,,0.1428231936587976,0.9344090058883704,0.7170783317087712,0.15844227380096707,1.733973668083737,-0.9265506121704583,,0.13717699934504973,,,,,,,,
47.582,13.4225,5,12.25,Limestone,-0.00020192651593806606,,0.13121908524913822,,0.03975480145109411,0.689385185758841,0.7577370560953721,0.09424005025538311,1.5977664137294798,-0.1869550001973401,-0.9578510156091042,-0.19135181946555135,,,,,-0.7463509261747353,,,
47.582,13.4225,5,11.3,Limestone,0.6895289039903829,,0.11818432376460808,,0.023164324574576674,0.6518243142461582,0.7393307038217624,0.09183771417628118,1.6008376333891596,-0.18810006654972614,-0.9469109683377431,-0.19250045412388764,,,,,-0.8643650473631331,,,
47.3367,11.1851,5,11.3,Gypsum,-1.4532795741807998,,-0.9481841199210075,,-2.0533356042404134,0.3375602029306377,0.13819195453518188,-1.5509174227175053,0.7857543050470494,-0.7893101586395544,,,,-1.055902331582009,,,,0.0356130417693911,,
47.1795,9.7997,5,14.2,Andesite,0.04517983902747526,,-0.5497698688946835,,-1.0987344784582604,-0.12168466129639807,0.6106344573410734,-2.0842390433276594,1.238423520998028,-0.25831674158207585,,-0.879040384840073,,,,,,,,
47.2091,14.5693,5,14.7,Andesite,-0.86072523825827,,-0.15092837951182653,,-0.5303500592291323,0.5260941731869152,0.6020319788810119,-0.37622494353317426,0.881952646570306,1.2530229991381772,-0.5672113899131166,-0.10589056577059865,,,,,-0.3150117233426268,,,
