location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Bad Nauheim-Steinfurth,Handbohrung,50.40629457437252,8.740296319876716,1,Unconsolidated rocks,Quaternary,n.s.,,6.8,,,,1045.0,71.5,258.0,1801.3,10.1,916.2,,0,,,0,,,,,,6.0
Bad Nauheim-Steinfurth,Handbohrung 14a Wettertal,50.38520093219406,8.756442478650614,1,Unconsolidated rocks,Quaternary,n.s.,,,,,,4873.7,138.6,559.9,7982.3,30.3,1670.2,,80,,,0,,,0,,,6.0
Bad Nauheim-Steinfurth,Handbohrung Wettertal,50.39848779222329,8.747231396888493,1,Unconsolidated rocks,Quaternary,n.s.,,6.9,,,,909.0,110.7,444.7,2168.3,165.3,839.4,,357,,,0,,,,,,6.0
Bad Nauheim-Steinfurth,Handbohrung Wettertal,50.3852012265289,8.756583099426672,1,Unconsolidated rocks,Quaternary,n.s.,,,,,,375.5,37.0,193.9,593.4,33.1,799.1,,18.5,,,0,,,,,,6.0
Bad Nauheim-Steinfurth,Sauerbrunnen,50.38655160859098,8.75741994446556,0,Unconsolidated rocks,Quaternary,10.7,,5.85,,,,584.0,44.3,193.9,819.4,14.4,939.4,,22.9,,,0,,,4.6,,,6.0
Bad Orb,Ludwigsquelle,50.22731623194515,9.350113186493068,58,?,Permian,12.8,,,,,,6190.0,180.8,868.5,10570.0,999.2,1351.0,1.482,463.6,0.295,1.34,46.87,6.813,,,67.65,,6.0
Bad Orb,Ludwigsquelle,50.22731623194515,9.350113186493068,58,?,Permian,13,,,,,,3262.0,120.0,554.0,5388.0,664,1257.0,,247,,,13,,,,,,6.0
Bad Orb,Ludwigsquelle,50.22731623194515,9.350113186493068,58,?,Permian,13.5,19090.0,6.49,262.0,,0.48,3843.0,133.0,603.0,6300.0,691,1365.0,4.5,245,11.24,1.4,14,1.7,1.9,<0.03,9.7,,6.0
Bad Orb,Martinusquelle,50.23237248482857,9.343001411117966,30,Sandstone,Triassic,10.6,,,,,,3591.0,194.6,939.9,5952.0,1324,1856.0,4.841,221.5,7.37,1.719,16.69,2.441,,2.161,18.42,,6.0
Bad Orb,Martinusquelle,50.23237248482857,9.343001411117966,30,Sandstone,Triassic,13,,,,,,3802.0,207.0,1193.0,6176.0,2073,2025.0,,290,,,17,,,,,,6.0
Bad Orb,Martinusquelle,50.23237248482857,9.343001411117966,30,Sandstone,Triassic,13,,,,,,4255.0,220.9,1154.0,6999.0,2055,1817.0,,,,,23.01,,,,,,6.0
Bad Orb,Martinusquelle,50.23237248482857,9.343001411117966,30,Sandstone,Triassic,13,,6.0,,,,3665.0,190.0,1076.0,5588.0,2172,1990.0,,226,,,,,,,,,6.0
Bad Orb,Martinusquelle,50.23237248482857,9.343001411117966,30,Sandstone,Triassic,13.2,16910.0,6.06,234.0,,0.77,3000.0,176.0,951.0,4505.0,2100,1772.0,4.4,172,9.91,1.4,11.7,1.4,1.4,<0.03,20.5,,6.0
Bad Orb,Philippsquelle,50.2274044510627,9.350674464268934,75,?,Permian,13.3,,,,,,7090.0,258.9,1231.0,12020.0,1470,2055.0,2.1,461.3,Traces,3.01,26,1.4,,Traces,17.9,,6.0
Bad Orb,Philippsquelle,50.2274044510627,9.350674464268934,75,?,Permian,12.7,,,,,,5654.0,204.1,1153.0,9596.0,1301,2102.0,2.62,407.4,14.23,1,22.73,0.98,,,23.01,,6.0
Bad Orb,Philippsquelle,50.2274044510627,9.350674464268934,73.5,?,Permian,12.5,,,,,,4806.0,172.6,913.5,7910.0,1223,1727.0,,,,,13.6,,,,,,6.0
Bad Orb,Philippsquelle,50.2274044510627,9.350674464268934,75,?,Permian,13.7,28400.0,6.61,180.0,,0.38,5800.0,185.0,959.0,9660.0,1200,1952.0,7.1,380,14.3,2.2,12.6,1.6,1.6,0.7,13.3,,6.0
Bad Salzschlirf,Bonifatiusbrunnen,50.62384844539033,9.504586762444612,26,Sandstone,Triassic,11,,,,,,4862.0,215.2,559.3,7873.0,1290,1217.0,51.57,194.5,,0.35,1.413,,,,14.74,,6.0
Bad Salzschlirf,Bonifatiusbrunnen,50.62384844539033,9.504586762444612,48,Sandstone,Triassic,10.9,,5.85,,,,5200.0,201.45,531.5,7127.0,1274.1,1077.55,3.05,141,,0.005,1.11,1.45,0.11,6.889,12.74,,6.0
Bad Salzschlirf,Bonifatiusbrunnen,50.62384844539033,9.504586762444612,48,Sandstone,Triassic,10.9,,,,,,4410.5,198.8,512.5,6885.0,1268.5,1030.7,3.15,132.6,,0.005,1,1.45,0.115,7.25,12.75,,6.0
Bad Salzschlirf,Hermann-Vollrath-Brunnen,50.62630165671807,9.504867432038616,643,?,Permian,14.9,31400.0,9.31,,,,6700.0,200.0,779.0,10107.0,1532,1521.0,4.4,264,,0.31,11,0.53,,23.6,14.3,,6.0
Bad Salzschlirf,Kurhausbrunnen,50.6265756439647,9.503880973560923,209,Sandstone,Triassic,11,,,,,,7572.0,163.0,1056.0,11790.0,1934,1706.0,,172,,,10,,,,,,6.0
Bad Salzschlirf,Kurhausbrunnen (new),50.6265756439647,9.503880973560923,120,Limestone,Triassic,13.9,12400.0,6.54,,,,2600.0,34.6,152.0,3229.0,772,1456.0,1.11,126,,0.53,2.23,0.12,,7.6,14.5,,6.0
Bad Salzschlirf,Martinybrunnen I,50.62423269531792,9.50512794683156,8,Sandstone,Triassic,10.4,,,,,,1718.0,118.8,466.3,2950.0,621.4,1057.0,,29.2,,,2.6,,,,12.0,,6.0
Bad Salzschlirf,Martinybrunnen I,50.62423269531792,9.50512794683156,8,Sandstone,Triassic,11,,,,,,570.0,41.0,110.0,982.0,203,204.0,,19,,,,,,,,,6.0
Bad Salzschlirf,Martinybrunnen III,50.6243238219441,9.50484625302582,70,Sandstone,Triassic,11.5,9830.0,6.17,,,,1831.0,61.0,196.0,2698.0,613,450.0,1.05,49,,0.08,0.014,0.092,0.15,10.7,16.4,,6.0
Bad Salzschlirf,Schwefelbrunnen,50.62613542028633,9.505883303314432,11.5,Limestone,Triassic,10.2,,,,,,631.6,32.2,326.5,827.4,448.3,871.5,Traces,25,,,13.3,,,,,,6.0
Bad Salzschlirf,Sprudelbrunnen,50.62315387609376,9.505116389236804,310,Sandstone,Triassic,n.s.,,,,,,13760.0,517.9,1464.0,21590.0,3421,4257.0,13.69,374.6,,4.23,716.2,,,,37.07,,6.0
Bad Salzschlirf,Sprudelbrunnen,50.62315387609376,9.505116389236804,310,Sandstone,Triassic,14.8,,6.03,,,,15540.0,416.1,1552.55,23313.0,3560.5,2842.6,6.35,313,13.82,1.35,21.22,1.24,0.21,0.54,11.44,,6.0
Bad Salzschlirf,Sprudelbrunnen,50.62315387609376,9.505116389236804,310,Sandstone,Triassic,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Salzschlirf,Sturmiusbrunnen,50.62450484948886,9.504565520224366,102,Sandstone,Triassic,11,,,,,,3388.0,96.0,385.0,5212.0,851,741.0,,84,,,2,,,,,,6.0
Bad Salzschlirf,Tempelquelle,50.62980229757336,9.50617708666019,4,Limestone,Triassic,12.9,,,,,,4471.0,362.4,909.9,7784.0,1478,1767.0,Traces,103.8,,Traces,24.8,Traces,,,9.5,,6.0
Bad Salzschlirf,Tempelquelle,50.62980229757336,9.50617708666019,4,Limestone,Triassic,11,,,,,,2945.0,192.0,494.0,4716.0,863,1281.0,,131,,,6,,,,,,6.0
Bad Schwalbach,Adelheidbrunnen,50.13238780382367,8.067274396456234,40,Slate,Devonian,9.8,,,,,,21.58,42.13,99.25,3.971,13.81,588.9,0.194,3.27,0.58,0.493,14.77,1.971,,2.533,42.35,,6.0
Bad Schwalbach,Adelheidbrunnen,50.13238780382367,8.067274396456234,40,Slate,Devonian,8,,,,,,32.0,57.0,134.0,6.0,17,811.0,,3,,,21,,,,,,6.0
Bad Schwalbach,Champagnerbrunnen,50.13860330429753,8.068692458489604,10,Slate,Devonian,10.1,,,,,,35.0,72.0,131.0,15.0,26,838.0,,3,,,9,,,,,,6.0
Bad Schwalbach,Ehebrunnen,50.13298897149571,8.063765589060447,10,Slate,Devonian,9.2,,,,,,23.69,55.04,137.8,3.61,7.67,788.7,,2.601,,,17.48,2.16,,,49.36,,6.0
Bad Schwalbach,Ehebrunnen,50.13298897149571,8.063765589060447,10,Slate,Devonian,8,,,,,,15.0,37.0,96.0,6.0,14,531.0,,2,,,15,,,,,,6.0
Bad Schwalbach,Lindenbrunnen,50.14331786344066,8.073567893303277,10,Slate,Devonian,9.2,,,,,,26.87,74.98,119.3,10.68,14.43,788.5,0.242,2.882,0.479,0.568,3.464,1.618,,4.04,42.61,,6.0
Bad Schwalbach,Neubrunnen,50.14221595212805,8.059528049354327,10,Slate,Devonian,9.2,,,,,,12.75,42.45,70.26,3.769,9.247,512.4,,2.35,,,27,3.536,,,39.18,,6.0
Bad Schwalbach,Neubrunnen,50.14221595212805,8.059528049354327,10,Slate,Devonian,8,,,,,,13.0,40.0,72.0,9.0,18,490.0,,2,,,25,,,,,,6.0
Bad Schwalbach,Paulinenbrunnen,50.13559834589397,8.063994451846392,10,Slate,Devonian,9.8,,,,,,10.01,32.18,59.95,4.011,6.513,418.6,,1.855,,,23.64,4.131,,,33.77,,6.0
Bad Schwalbach,Paulinenbrunnen,50.13568993743614,8.064202503887616,10,Slate,Devonian,8,,,,,,10.0,27.0,55.0,6.0,16,341.0,,2,,,15,,,,,,6.0
Bad Schwalbach,Schwalbenbrunnen,50.13256198634355,8.066571592503488,93,Slate,Devonian,n.s.,,,,,,,,,,,,,,,,24.5,,,,,,6.0
Bad Schwalbach,Schwalbenbrunnen,50.13256198634355,8.066571592503488,93,Slate,Devonian,11.2,1740.0,5.86,10.0,,1.3,55.1,99.0,221.0,17.0,14,1280.0,0.24,2.1,1.7,0.19,23.4,4.1,0.11,<0.3,52.8,,6.0
Bad Schwalbach,Schwalbenbrunnen,50.13256198634355,8.066571592503488,93,Slate,Devonian,11.1,1820.0,6.09,,,,58.0,108.0,241.0,10.0,9.6,1369.0,,2.2,1.9,0.16,26.4,4.6,,<0.3,,,6.0
Bad Schwalbach,Stahlbrunnen,50.14118907864847,8.065983986825847,7.8,Slate,Devonian,9.7,,,,,,11.54,40.37,61.56,4.08,7.422,484.4,,1.705,,,29.32,,,,41.67,,6.0
Bad Schwalbach,Stahlbrunnen,50.14118907864847,8.065983986825847,7.8,Slate,Devonian,9.1,,,,,,11.0,40.0,69.0,8.0,12,490.0,,2,,,29,,,,,,6.0
Bad Schwalbach,Weinbrunnen,50.13860330429753,8.068692458489604,10,Slate,Devonian,9.8,,,,,,80.7,115.1,159.2,5.242,8.304,1311.0,,3.446,,,20.2,3.146,,,60.37,,6.0
Bad Schwalbach,Weinbrunnen,50.13860330429753,8.068692458489604,10,Slate,Devonian,9,,6.3,,,,60.55,71.91,112.1,15.26,35.22,836.8,,3.5,,,17.09,1.03,,,44.3,,6.0
Bad Schwalbach,Weinbrunnen,50.13860330429753,8.068692458489604,10,Slate,Devonian,11.6,1420.0,5.71,400.0,,0.4,65.5,86.4,130.0,67.8,36,853.0,0.26,2.6,1.1,0.17,17.1,4.4,0.15,<0.3,50.0,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,32,,,,,,5737.0,60.26,551.1,9244.0,76.87,1748.0,0.429,302.4,,10.01,32.05,3.455,Traces,,36.42,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,30,,,,,,4940.0,56.0,471.0,7821.0,83,1689.0,,227,,,11,,,,,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,26.2,22096.8,,,,,4766.0,50.8,440.0,7520.0,84.6,1603.0,,215,,,12.2,,1.66,,,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,26.4,22800.0,,,,,5000.0,48.8,434.0,8100.0,88.8,1623.0,,216,,,12.2,,1.8,,,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,26,25800.0,6.07,,,,5540.0,55.6,505.0,8776.0,84,1729.0,6.2,263,19,11,14,0.3,1.8,,31.8,,6.0
Bad Soden (Taunus),Alter Sprudel XXIV,50.14711290508896,8.501720108366012,210,Phyllite,Silurian/Ordovician,26,,6.0,,,,5780.0,56.6,531.0,9080.0,87,1773.0,5.9,272,18.9,12,13.3,0.26,1.78,<0.3,30.6,,6.0
Bad Soden (Taunus),Brunnen 3,50.14076630080889,8.510474146117268,109,Marl,Neogene,13.8,1008.0,6.84,,,0.7,29.0,17.0,169.0,51.0,131,447.0,,3.7,,0.08,0.95,0.34,,<0.3,,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,10.5,,,,,,2572.0,126.9,267.7,3999.0,47.22,1417.0,Traces,43.68,,,9.684,,,,30.94,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,17,,,,,,2658.0,178.4,289.7,4076.0,43.87,1939.0,,93.03,,6.327,6.232,0.418,,1.688,37.95,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,15.8,13503.6,,,,,2564.0,174.0,331.0,3957.0,42.8,2067.0,,115,,,5.7,,0.54,,,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,16.7,13010.0,,,,,2490.0,169.0,337.0,3980.0,44.4,1953.0,,106,,,6.3,,0.6,,,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,15.6,13240.0,6.02,,,,2510.0,156.0,305.0,3798.0,42,2010.0,4.2,116,5,4.3,5.3,0.46,0.51,,28.9,,6.0
Bad Soden (Taunus),Champagnerbrunnen XIXa,50.14179188006284,8.49796988438405,45,Phyllite,Silurian/Ordovician,15.3,,6.0,,,,1780.0,120.0,227.0,2680.0,48,1602.0,2.6,84.2,3.9,3.2,4.2,0.35,0.52,<0.3,25.9,,6.0
Bad Soden (Taunus),Glockenbrunnen XI,50.14235860979553,8.49803390764784,5.5,Phyllite,Silurian/Ordovician,18,,,,,,1631.0,142.0,199.0,2452.0,26,1533.0,,80,,,5,,,,,,6.0
Bad Soden (Taunus),Glockenbrunnen XI,50.14235860979553,8.49803390764784,5.5,Phyllite,Silurian/Ordovician,18.9,9073.080000000002,,,,,1655.0,116.0,255.0,2530.0,26.4,1517.0,,76.6,,,4.9,,0.49,,,,6.0
Bad Soden (Taunus),Glockenbrunnen XI,50.14235860979553,8.49803390764784,5.5,Phyllite,Silurian/Ordovician,19.4,9100.0,,,,,1730.0,114.0,251.0,2650.0,37.2,1574.0,,75,,,5.3,,0.6,,,,6.0
Bad Soden (Taunus),Glockenbrunnen XI,50.14235860979553,8.49803390764784,5.5,Phyllite,Silurian/Ordovician,18.4,9220.0,6.13,,,,1640.0,112.0,240.0,2508.0,25,1510.0,2.7,81.4,4.2,2.8,4.7,0.53,0.47,,29.2,,6.0
Bad Soden (Taunus),Glockenbrunnen XI,50.14235860979553,8.49803390764784,5.5,Phyllite,Silurian/Ordovician,18,,6.2,,,,1840.0,107.0,235.0,2810.0,29,1498.0,2.9,84.3,4.2,3.2,4.7,0.41,0.37,<0.3,33.4,,6.0
Bad Soden (Taunus),Majorquelle VII,50.14697366768004,8.502798964030433,4.35,Phyllite,Silurian/Ordovician,19.7,,,,,,5674.0,71.86,569.0,9043.0,83.75,1930.0,0.533,292.1,,,13.97,0.544,Traces,Traces,50.62,,6.0
Bad Soden (Taunus),Majorquelle VII,50.14697366768004,8.502798964030433,4.35,Phyllite,Silurian/Ordovician,17,,,,,,3576.0,43.15,356.8,5550.0,74.14,1435.0,,174,,,6.57,0.83,,,,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,23.8,,,,,,961.3,81.22,184.0,1537.0,20.38,1002.0,0.109,88.35,,1.492,3.841,2.271,,Traces,43.73,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,22,,,,,,774.0,71.0,210.0,1219.0,16,1031.0,,49,,,7,,,,,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,21.4,4910.400000000001,,,,,768.0,71.8,222.0,1219.0,18.7,1049.0,,39.7,,,6.9,,0.49,,,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,23,4710.0,,,,,695.0,60.5,192.0,1060.0,31.2,1025.0,,37,,,6.7,,0.31,,,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,22.6,6060.0,5.87,,,,1010.0,74.8,237.0,1590.0,19,1105.0,1.5,50.7,2.7,1.9,6.8,0.55,0.3,,33.5,,6.0
Bad Soden (Taunus),Milchbrunnen I,50.14251351020911,8.498507981431265,7,Phyllite,Silurian/Ordovician,19.8,,5.8,,,,734.0,68.8,227.0,1190.0,17,1018.0,0.94,40.3,1.8,0.99,7.1,0.55,0.28,<0.3,38.9,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,33,,,,,,6647.0,100.7,725.3,10725.0,96.73,2328.0,,301,,,19.02,0.47,,,,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,30.7,25444.8,,,,,6154.0,74.5,584.0,9780.0,91.2,2070.0,,275,,,15.5,,1.11,,,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,30.9,27700.0,,,,,6070.0,70.1,574.0,9900.0,84,2020.0,,267,,,14.3,,1.38,,,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,31.3,28300.0,6.07,,,,6020.0,70.8,561.0,9570.0,93,1978.0,6.9,285,20,12,15,0.3,1.3,,33.1,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Soden (Taunus),Neuer Sprudel XXVII,50.14696275918093,8.502351322845133,372.6,Phyllite,Silurian/Ordovician,30.9,,6.1,,,,6090.0,69.1,554.0,9370.0,90,1931.0,6.1,278,18.5,12,15.1,0.25,1.35,<0.3,30.6,,6.0
Bad Soden (Taunus),Sauerbrunnen V,50.14387064823216,8.500466581848595,16.6,Phyllite,Silurian/Ordovician,16.2,21800.0,5.92,,,,4540.0,52.1,406.0,7129.0,69,1546.0,3.8,214,14,8.9,7.3,0.35,1.7,,35.2,,6.0
Bad Soden (Taunus),Sauerbrunnen V,50.14387064823216,8.500466581848595,16.6,Phyllite,Silurian/Ordovician,17.7,,6.1,,,,4570.0,51.4,407.0,7190.0,65,1558.0,5.9,204,14.1,9.3,7.4,0.23,1.44,<0.3,41.7,,6.0
Bad Soden (Taunus),Schlangenbadquelle X,50.14517302839108,8.502243967429331,0,Phyllite,Silurian/Ordovician,21,,,,,,132.4,15.67,58.39,196.2,11.37,280.9,,11.07,,,3.41,0.3,,,45.5,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,13.5,,,,,,3969.0,45.18,398.3,6271.0,55.83,1406.0,Traces,178,,,13.6,Traces,,,36.5,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,15,,,,,,2010.0,24.0,187.0,3018.0,111,903.0,,116,,,9,,,,,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,14,9921.240000000002,,,,,2017.0,29.4,208.0,3071.0,105,923.0,,100,,,9.7,,1.57,,,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,17.6,21300.0,,,,,4585.0,50.1,407.0,7400.0,108,1525.0,,201,,,13.7,,1.62,,,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,16.3,23500.0,5.87,,,,5010.0,55.9,432.0,7810.0,71,1667.0,5.3,242,16,9.7,18,0.27,1.4,,36.5,,6.0
Bad Soden (Taunus),Schwefelbrunnen VIb,50.1465759102596,8.502299368229233,15.45,Phyllite,Silurian/Ordovician,15.7,,5.9,,,,5940.0,62.3,523.0,9200.0,86,1791.0,5.9,270,18.6,12,18.1,0.23,1.53,<0.3,33.4,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,21.6,,,,,,5610.0,69.64,551.8,9038.0,80.98,1814.0,0.747,355.3,,,7.325,Traces,,Traces,52.93,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,21,,,,,,5659.0,68.0,536.0,9040.0,89,1824.0,,278,,,13,,,,,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,20.2,26895.6,,,,,5894.0,70.9,542.0,9383.0,88.7,1820.0,,265,,,11.9,,1.56,,,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,21,25100.0,,,,,5570.0,62.0,490.0,9050.0,85.2,1782.0,,243,,,10.4,,1.96,,,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,20.9,26000.0,5.93,,,,5420.0,64.7,500.0,8621.0,83,1772.0,6,261,19,10,11,0.37,1.8,,39.4,,6.0
Bad Soden (Taunus),Solbrunnen IV,50.1430070434741,8.498278962616748,5.5,Phyllite,Silurian/Ordovician,21.1,,5.9,,,,5450.0,62.0,477.0,8540.0,82,1768.0,5.6,248,16.7,11,10.6,0.24,1.85,<0.3,36.1,,6.0
Bad Soden (Taunus),Stahlquelle XXVIII,50.15976783777442,8.50269426481102,18.1,Phyllite,Silurian/Ordovician,11.7,,,,,,117.0,21.8,110.0,153.0,7.4,564.0,,13.3,,,26,,,,,,6.0
Bad Soden (Taunus),Stahlquelle XXVIII,50.15976783777442,8.50269426481102,18.1,Phyllite,Silurian/Ordovician,11.5,1080.0,6.13,,,,101.0,19.6,100.0,128.0,10,515.0,0.11,11.9,0.35,0.11,24,1.6,0.58,,110.0,,6.0
Bad Soden (Taunus),Stahlquelle XXVIII,50.15976783777442,8.50269426481102,18.1,Phyllite,Silurian/Ordovician,12.5,,5.6,,,,100.0,18.8,100.0,147.0,8.3,463.0,0.14,11.7,0.37,0.14,23.7,1.8,0.59,<0.3,111.0,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,23.1,,,,,,1363.0,104.5,246.8,2082.0,23.01,1400.0,2.018,62.68,1.866,0.147,5.224,0.614,,Traces,37.16,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,21,,,,,,1441.0,110.7,297.5,2309.7,27.17,1432.0,,72.64,,4.68,7.18,0.46,,,37.64,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,20.8,7108.920000000001,,,,,1107.0,84.6,261.0,1774.0,23.1,1198.0,,51.4,,,7.3,,0.34,,,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,22.7,7160.0,,,,,1120.0,80.5,266.0,1835.0,30,1201.0,,52.8,,,8.4,,0.36,,,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,22.7,8230.0,5.88,,,,1440.0,91.7,264.0,2252.0,25,1301.0,2.3,71,3.8,2.4,6.4,0.53,0.33,,32.3,,6.0
Bad Soden (Taunus),Warmbrunnen III,50.14252189692778,8.49836798347337,8,Phyllite,Silurian/Ordovician,20.3,,5.9,,,,1060.0,78.2,242.0,1720.0,22,1112.0,1.4,53.9,2.8,1.7,6.9,0.53,0.32,<0.3,38.9,,6.0
Bad Soden (Taunus),Warmer Champagnerbrunnen XIXb,50.14251260385811,8.498298125539694,5.5,Phyllite,Silurian/Ordovician,21.5,11293.92,,,,,2134.0,144.0,345.0,3353.0,34.8,1823.0,,93.9,,,6.9,,0.4,,,,6.0
Bad Soden (Taunus),Warmer Champagnerbrunnen XIXb,50.14251260385811,8.498298125539694,5.5,Phyllite,Silurian/Ordovician,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Bad Soden (Taunus),Warmer Champagnerbrunnen XIXb,50.14251260385811,8.498298125539694,5.5,Phyllite,Silurian/Ordovician,22.4,11750.0,,,,,2260.0,146.0,341.0,3590.0,55.2,1928.0,,101,,,6.7,,0.6,,,,6.0
Bad Soden (Taunus),Warmer Champagnerbrunnen XIXb,50.14251260385811,8.498298125539694,5.5,Phyllite,Silurian/Ordovician,22,11950.0,6.07,,,,2190.0,160.0,360.0,3398.0,34,2008.0,3.8,106,4.5,3.6,6.4,0.56,0.4,,32.0,,6.0
Bad Soden (Taunus),Warmer Champagnerbrunnen XIXb,50.14251260385811,8.498298125539694,5.5,Phyllite,Silurian/Ordovician,20.1,,6.0,,,,2410.0,153.0,360.0,3810.0,39,1931.0,3.3,111,6,3.9,6,0.46,0.44,<0.3,36.1,,6.0
Bad Soden (Taunus),Wiesenbrunnen XVIII,50.14364039249345,8.499195766821325,1.9,Phyllite,Silurian/Ordovician,12.3,,,,,,4851.0,53.53,468.0,7593.0,76.13,1633.0,Traces,139.8,,,13.6,Traces,,,45.1,,6.0
Bad Soden (Taunus),Wiesenbrunnen XVIII,50.14364039249345,8.499195766821325,1.9,Phyllite,Silurian/Ordovician,16,,,,,,4275.0,114.0,323.0,6814.0,75,1389.0,,171,,,6,,,,,,6.0
