location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number
Wiesbaden,Paulinenstiftbrunnen,50.07242641544156,8.228124300387854,11.5,Unconsolidated rocks,Neogene/Paleogene,11.7,,6.6,,,3.39,34.0,39.0,264.0,93.0,194,634.0,,,,0,0.3,,,48,26.0,,6.0
Wiesbaden,Salmquelle,50.08776549208493,8.243082979576402,47,"Gneiss, Phyllite",Silurian ,64.2,13100.0,6.1,,,,2597.0,46.8,337.0,4480.0,68,567.0,3.1,88.8,15.3,5.5,2.6,0.37,0.58,,,,6.0
Wiesbaden,Salmquelle,50.08776549208493,8.243082979576402,47,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Salmquelle,50.08776549208493,8.243082979576402,47,"Gneiss, Phyllite",Silurian ,65.2,13100.0,5.86,,,1.3,2650.0,42.0,341.0,4710.0,64.7,561.0,3.54,80,13.8,5.98,2.91,0.58,0.59,,,,6.0
Wiesbaden,Salmquelle,50.08776549208493,8.243082979576402,47,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,65,"Gneiss, Phyllite",Silurian ,49.2,,,,,,2031.0,35.99,300.5,3602.0,105.4,333.0,4.174,82.66,9.712,4.191,1.052,0.321,,,66.42,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,65,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,2088.0,36.68,327.3,3689.0,115.6,401.7,,101.3,,3.8,2.249,0.539,,0,66.87,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,65,"Gneiss, Phyllite",Silurian ,49.3,10900.0,6.14,,,,2047.0,34.2,302.0,3600.0,114,384.0,4,84.6,14.6,4.3,1.05,0.23,0.67,,,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,61.5,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,61.5,"Gneiss, Phyllite",Silurian ,49.1,10500.0,5.96,,,1.3,2010.0,31.7,293.0,3540.0,111,375.0,4.35,83,12.6,4.58,1.39,0.32,0.73,,70.33,,6.0
Wiesbaden,Schützenhofquelle,50.09361220581355,8.239300974900662,61.5,"Gneiss, Phyllite",Silurian ,n.s.,,,,,,,,,,,,,,,,,,,,,,6.0
Wiesbaden,Spiegelquelle,50.08753726497503,8.24255551914027,8.4,"Gneiss, Phyllite",Silurian ,66.2,,,,,,2683.0,49.36,338.8,4733.0,58.3,306.0,,74.57,Traces,6.939,3.537,0.314,,,79.28,,6.0
Wiesbaden,Vier Jahreszeiten,50.08512619667017,8.245108915462136,6.4,Gneiss,Silurian ,50.4,,,,,,2666.0,49.8,362.1,4627.0,65.68,563.0,3.281,88.05,12.59,3.077,4.262,0.512,,Traces,81.17,,6.0
Wiesbaden,Wilhelm-Heilanstalt-Quelle,50.08492635583462,8.242037692106624,0,Gneiss,Silurian ,40.1,,,,,,2652.0,48.36,354.4,4577.0,65.5,604.0,1.613,120.3,0.012,5.426,2.659,0.458,,,82.01,,6.0
Wiesbaden-Erbenheim,Privatbrunnen,50.05583452117515,8.306040972755572,80,Unconsolidated rocks,Neogene/Paleogene,11.7,,6.9,,,9.6,91.0,55.0,264.0,146.0,238,571.0,,,,,0.04,,,201,16.9,,6.0
Wiesbaden-Schierstein,Bohrung Alms/Intra,50.04881063586434,8.210828895837565,73,Unconsolidated rocks,Paleogene,n.s.,,,,,,649.0,31.0,64.0,813.0,67,598.0,,,,,,,,,,,6.0
Willingshausen-Merzhagen,Merzhagen,50.84158322707276,9.232578566441582,135,Sandstone,Triassic,12.6,250.0,6.69,,,3,8.8,18.4,26.0,3.0,5.3,195.2,,6,,0.01,4.3,0.29,,0,,,6.0
Wölfersheim-Berstadt,Kreuzquelle,50.41732531397111,8.8941807076766,0,Unconsolidated rocks,Quaternary,n.s.,,,,,,646.0,416.0,656.0,1716.0,66,2605.0,,165,,0,8.5,0.62,,0.66,7.0,,6.0
Wolfhagen,Stadtwald I,51.3173856595703,9.136854349243775,160,Sandstone,Triassic,11,,6.1,,,4.1,7.4,7.2,15.0,14.0,3,69.632,,,,,,,,5,,,6.0
Wolfhagen,Stadtwald II,51.32062417730828,9.134855499236686,160,Sandstone,Triassic,10.5,,6.1,,,4.9,6.9,7.2,17.1,14.0,3,76.16000000000001,,,,,,,,4,,,6.0
Wolfhagen,Stadtwald III,51.30165197146462,9.138671810193154,150,Sandstone,Triassic,10,,6.1,,,6.5,0.9,8.9,36.3,13.5,5.6,117.504,,,,,0.16,,,5.3,,,6.0
Zierenberg-Oberelsungen,Oberelsungen,51.37076104623615,9.25679256406353,230,Sandstone,Triassic,14.5,,,,,,560.0,419.6,899.7,157.0,1054.1,4119.7,,,,,,,,,,,6.0
Zierenberg-Oelshausen,Oelshausen I,51.32545118071247,9.258261181342696,127.8,Sandstone,Triassic,n.s.,,,,,,10.0,14.6,60.1,17.7,31.4,213.248,,,,,,,,,,,6.0
Zierenberg-Oelshausen,Oelshausen I,51.32545118071247,9.258261181342696,127.8,Sandstone,Triassic,9.4,491.0,6.5,,,,4.8,29.6,56.0,6.1,86,214.0,,1.2,,,,,,,,,6.0
Zierenberg-Oelshausen,Oelshausen II,51.30351652768697,9.258424878965004,200,Sandstone,Triassic,12.2,444.0,7.9,,,,,,,,,244.0,,,,,,,,,,,6.0
Zierenberg-Oelshausen,Oelshausen II,51.30351652768697,9.258424878965004,200,Sandstone,Triassic,12.1,867.0,7.5,,,5.2,4.4,38.7,78.35,8.0,99,272.7,,2.46,,<0.02,<0.05,<0.01,,6,,,6.0
