location,well_or_spring_name,WGS84_latitude,WGS84_longitude,depth_bgl_in_m,rock_type,stratigraphic_period,temperature_in_c,electrical_conductivity_25c_in_uS/cm,pH,redox_potential_in_mV,total_dissolved_solids_in_mmol/L,O2_in_mmol/L,Na_in_mmol/L,Mg_in_mmol/L,Ca_in_mmol/L,Cl_in_mmol/L,SO4_in_mmol/L,HCO3_in_mmol/L,Li_in_mmol/L,K_in_mmol/L,Sr_in_umol/L,NH4_in_umol/L,Fe_in_mmol/L,Mn_in_mmol/L,F_in_umol/L,NO3_in_mmol/L,H2SiO3_in_umol/L,HS_in_mmol/L,Database_number,Database_name
Bad Homburg (Höhe),Seedammbrunnen,50.22419743998637,8.633370722063905,852.75,Greenschist,Silurian ,21.8,,,,103.71850551434504,,37.14695871889796,2.1065624357128163,7.043764658915116,39.54866008462623,0.13220903601915468,16.765874316581662,,0.9207561454078566,,,0.05372011818426001,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,150,Schist,Silurian ,15,,,,824.0059407185033,,330.36434598364167,8.994034149351984,34.358001896302206,395.4866008462623,0.2508848636268999,43.44705064834603,,3.3607599307386766,,,7.402632285791029,0.11758709818340675,,,224.04301625912177,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Gneiss,Silurian ,10.8,,6.1,,638.4536814003048,,248.24085879244808,11.112939724336558,31.18918109686112,309.05500705218617,0.2061211742660837,31.548688230126782,,6.726635173396286,,,0.374250156683678,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Greenschist,Silurian ,10.8,,6.1,,638.4536814003048,,248.24085879244808,11.112939724336558,31.18918109686112,309.05500705218617,0.2061211742660837,31.548688230126782,,6.726635173396286,,,0.374250156683678,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,150,Schist,Silurian ,n.s.,,,,0.0,,,,,,,,,,,,,,,,,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Gneiss,Silurian ,15.5,30700.0,5.96,10.0,626.233398163319,0.0031251953247077944,249.67627991390432,9.668792429541247,27.97045760766505,301.5514809590973,0.20820320632937747,29.434516395484522,0.6051873198847262,5.882608706772417,194.01963022141064,554.385186827808,0.21488047273704003,0.027303505770140884,19.47573428781977,0.0004838327293488095,225.32326206631674,,6,
Bad Homburg (Höhe),Solsprudel,50.22759304970742,8.62408139007345,505,Greenschist,Silurian ,15.5,30700.0,5.96,10.0,626.233398163319,0.0031251953247077944,249.67627991390432,9.668792429541247,27.97045760766505,301.5514809590973,0.20820320632937747,29.434516395484522,0.6051873198847262,5.882608706772417,194.01963022141064,554.385186827808,0.21488047273704003,0.027303505770140884,19.47573428781977,0.0004838327293488095,225.32326206631674,,6,
Bad Homburg (Höhe),Stahlbrunnen,50.2276450840065,8.626281203699467,58.8,Schist,Silurian ,11.7,9580.0,,,257.9107300324017,,100.47947850193711,4.054721250771446,11.667248864713807,119.71791255289139,0.08686237768061628,16.995319321891674,0.2877521613832853,3.3582022747792104,57.795023967130795,249.1407029604169,0.6167069567553048,0.03527612945502202,,0.018563049049349325,285.7508641659199,,6,
Bad Homburg (Höhe),Victoria-Louisen-Brunnen,50.22419743998637,8.633370722063905,257,Gneiss,Silurian ,22.4,6470.0,5.97,-10.0,121.27699112110321,0.0031251953247077944,43.10613125342843,2.427484056778441,8.283846499326312,46.88293370944992,0.13533208411409536,18.699767932766058,0.17291066282420747,1.0997920625704953,41.0865099292399,121.96474110211776,0.06267347121497001,0.0041865375514216025,19.47573428781977,0.0004838327293488095,218.92203303034185,,6,
Bad Homburg (Höhe),Victoria-Louisen-Brunnen,50.22419743998637,8.633370722063905,257,Greenschist,Silurian ,22.4,6470.0,5.97,-10.0,121.27699112110321,0.0031251953247077944,43.10613125342843,2.427484056778441,8.283846499326312,46.88293370944992,0.13533208411409536,18.699767932766058,0.17291066282420747,1.0997920625704953,41.0865099292399,121.96474110211776,0.06267347121497001,0.0041865375514216025,19.47573428781977,0.0004838327293488095,218.92203303034185,,6,
Bad Karlshafen,Alte Solebohrung,51.64452685318769,9.453291116908677,36,Sandstone,Triassic,11,,,,904.4838337823144,,434.1496428259023,5.690187204278955,8.438544837566743,426.657263751763,13.03352071621903,12.829253582619867,,2.9796691927782026,,271.6487415456259,0.017906706061420002,,,0.05644715175736111,359.74907182178976,,6,
Bad Karlshafen,Neue Solebohrung,51.64479424684271,9.453871656669168,70,Sandstone,Triassic,10.9,,,,431.0910284307984,,202.12034318396152,3.9909483645340464,5.973351963670842,202.27362482369534,6.335623568602957,10.39713652633373,,,,,,,,,,,6,
Bad Karlshafen,Neue Solebohrung,51.64479424684271,9.453871656669168,70,Sandstone,Triassic,13,,6.98,,267.7761361601518,0.08125507844240265,124.83813995695216,1.23842830693273,5.881031987624132,117.54583921015514,9.474286904018323,7.732296678947437,,1.0230623837865074,,,0.00270391261527442,0.00036404674360187845,15.791135909043057,0.024191636467440478,,,6,
Bad Karlshafen,Solebohrung III,51.64449886336265,9.448884611491753,1144.6,Claystone,Permian,23,246000.0,5.7,,10211.115035907686,0.009375585974123381,5152.857342759729,39.00432009874511,31.488597235390984,4908.321579689704,53.07099729335832,5.146123690524576,1.1887608069164264,18.41512290815713,479.34261584113216,798.3146690320435,0.189811084251052,0.02402708507772398,16.84387830297926,0.000806387882248016,113.04570477531686,,6,
Bad Karlshafen,Solebohrung III,51.64449886336265,9.448884611491753,1144.6,Salt,Permian,23,246000.0,5.7,,10211.115035907686,0.009375585974123381,5152.857342759729,39.00432009874511,31.488597235390984,4908.321579689704,53.07099729335832,5.146123690524576,1.1887608069164264,18.41512290815713,479.34261584113216,798.3146690320435,0.189811084251052,0.02402708507772398,16.84387830297926,0.000806387882248016,113.04570477531686,,6,
Bad König,Fafnirbrunnen,49.7424438230336,9.005344652994046,19.4,Sandstone,Triassic,14,,,,25.77396528104366,,3.0361331599286623,1.1890557498457106,2.8569289884724784,4.35543018335684,0.5069748074120342,9.53507886352611,,3.9541361133348505,,,0.34022741516698,,,,,,6,
Bad König,Gustavbrunnen,49.74230886700692,9.006940123091272,6,Sandstone,Triassic,10,,,,21.96624567252788,,2.3053733162782106,0.8146471919358157,2.070961624831578,3.7517630465444283,0.5829689777222569,7.555296246279712,,3.938790177578053,2.624971467701438,481.2063421665373,0.12373533888441222,0.057337362117295856,7.369196757553427,0.2741718799643254,,,6,
Bad König,Thermalbrunnen,49.7426236100135,9.005899630562968,366,Sandstone,Triassic/Permian/Carbonifereous,20.5,,,,16.274336237338385,,3.4624097353914256,1.1890557498457106,1.7815260242527073,5.56558533145275,0.14990630855715179,3.5072307954530553,0.023054755043227664,0.31970699493328353,10.842273453549415,4.435081494622464,0.023457784940460205,0.004550584295023481,5.79008316664912,0.002741718799643254,224.04301625912177,,6,
Bad König,Thermalbrunnen,49.7426236100135,9.005899630562968,366,Limestone,Triassic/Permian/Carbonifereous,20.5,,,,16.274336237338385,,3.4624097353914256,1.1890557498457106,1.7815260242527073,5.56558533145275,0.14990630855715179,3.5072307954530553,0.023054755043227664,0.31970699493328353,10.842273453549415,4.435081494622464,0.023457784940460205,0.004550584295023481,5.79008316664912,0.002741718799643254,224.04301625912177,,6,
Bad König,Thermalbrunnen,49.7426236100135,9.005899630562968,366,Granite,Triassic/Permian/Carbonifereous,20.5,,,,16.274336237338385,,3.4624097353914256,1.1890557498457106,1.7815260242527073,5.56558533145275,0.14990630855715179,3.5072307954530553,0.023054755043227664,0.31970699493328353,10.842273453549415,4.435081494622464,0.023457784940460205,0.004550584295023481,5.79008316664912,0.002741718799643254,224.04301625912177,,6,
