WGS84_latitude,WGS84_longitude,total_dissolved_solids_in_mmol/L_log_gauss,Na_in_mmol/L_log_gauss,Mg_in_mmol/L_log_gauss,Ca_in_mmol/L_log_gauss,Cl_in_mmol/L_log_gauss,SO4_in_mmol/L_log_gauss,HCO3_in_mmol/L_log_gauss,Li_in_mmol/L_log_gauss,K_in_mmol/L_log_gauss,Sr_in_umol/L_log_gauss,Fe_in_mmol/L_log_gauss,F_in_umol/L_log_gauss
33.883278,-98.99983,-0.035967,-0.0011699127,-0.08949459,-0.112660095,-0.025628317,-0.09926641,0.38919365,-0.026732035,-0.003796297,-0.010570362,0.010356281,-0.025354689
31.172377,-97.15153,-0.0684251,0.0020495176,-0.2654134,-0.19407018,-0.031024422,-0.8802079,0.33816844,0.017842555,0.05514068,0.009593614,-0.010516465,-0.017858459
36.828766,-102.62539,-0.52596366,-0.48358932,-0.725029,-0.7693693,-0.53126127,-0.34959704,0.81430686,-0.027378429,-0.032816283,-0.013984791,-0.107586175,-0.031052403
32.08845,-96.81212,0.050569948,0.12980276,-0.077233806,-0.020680157,0.08543892,-0.66418093,-0.040106628,0.008169254,0.03356884,0.029957576,-0.001576818,-0.017945321
42.882664,-108.92026,-1.2715715,-1.3049365,-0.4574485,-0.5505419,-1.2878201,0.72157586,0.022373423,-0.03416771,-0.27538353,-0.026644446,-0.055018116,-0.021132695
40.083,-105.4236,-0.62202686,-0.5500196,-1.085642,-1.193044,-0.61638856,-1.0088305,1.2763338,-0.018692838,-0.10668645,-0.018935407,-0.04810289,-0.031214878
35.994812,-98.34759,0.43859676,0.4796761,0.59283656,0.50218016,0.45122203,0.49931338,-0.3141334,-0.0143741965,0.00041842298,-0.0083357515,0.005248587,-0.022440223
41.426105,-106.088455,-0.67472446,-0.67321426,-0.83440906,-1.0355006,-0.6823269,-0.27064124,1.144154,-0.082532115,-0.47822475,-0.20629193,-0.027251426,-0.03166953
41.745888,-108.97836,-1.6777298,-1.7117492,-0.8961174,-1.0742157,-1.5911642,-0.22706509,-0.029739475,-0.06523726,-1.1795124,0.0032140696,0.13201503,-0.18338583
42.741226,-101.70842,-1.6360254,-1.5068051,-0.9884845,-1.0060693,-1.4180313,-0.7858068,-0.09458832,-1.3562325,-0.4251765,-0.913262,-2.725604,-0.44364333
42.362377,-108.13476,-1.2739751,-1.2470152,-0.8211931,-0.9681422,-1.1641555,-0.039994657,0.28962436,-0.08075248,-0.48455665,-0.033826295,-0.045853678,-0.028240811
43.090504,-105.93675,-0.18402684,-0.164334,-0.1350705,-0.1498847,-0.2938638,1.5850637,0.37223247,0.008981075,0.09627623,-0.018558132,-0.04722715,-0.031173011
40.74763,-96.6829,1.7328035,1.3312899,1.7091215,1.9044105,1.8782904,-0.31342003,-1.1574314,-0.023816884,-0.00083400286,-0.0060689608,0.25112933,-0.011715991
40.587425,-106.33447,-0.83465797,-0.8231084,-0.476169,-0.5589217,-0.8096862,0.42837366,0.30456352,0.0040568835,-0.033073954,-0.019361302,-0.0144387735,0.042802956
40.350193,-105.1128,-0.6602171,-0.6406903,-0.7696751,-0.83140385,-0.64464194,-0.23515272,0.8737169,-0.0096590035,-0.074280724,-0.005294523,0.10604465,-0.025522767
